Salario,Educación,Experiencia,Años en la empresa,Genero,Estado civil
5.25,16,4,0,Hombre,Soltera
6.25,12,10,0,Hombre,Casada
3.5,14,18,2,Hombre,Casada
2.95,12,3,1,Hombre,Soltera
3.0,10,7,0,Mujer,Casada
4.69,10,7,7,Hombre,Soltera
3.73,9,33,2,Mujer,Soltera
4.0,10,34,12,Hombre,Casada
4.0,12,8,0,Mujer,Casada
2.9,12,17,1,Mujer,Casada
3.05,12,2,0,Mujer,Soltera
5.05,10,5,0,Mujer,Soltera
13.95,16,41,16,Hombre,Casada
18.16,16,35,28,Hombre,Casada
6.25,16,11,4,Hombre,Soltera
5.25,12,4,0,Hombre,Soltera
4.79,12,12,3,Mujer,Casada
3.35,7,35,0,Mujer,Soltera
3.0,8,33,0,Hombre,Casada
8.43,16,8,6,Hombre,Casada
5.7,16,2,0,Hombre,Soltera
11.98,18,8,10,Hombre,Casada
3.5,13,29,1,Mujer,Casada
4.24,10,14,5,Hombre,Casada
7.0,16,26,3,Mujer,Casada
6.0,14,11,3,Mujer,Casada
12.22,16,10,2,Hombre,Soltera
4.5,12,13,0,Hombre,Casada
3.0,9,23,20,Mujer,Casada
2.9,11,1,2,Hombre,Soltera
15.0,11,35,31,Hombre,Casada
4.0,12,5,2,Hombre,Casada
5.25,11,13,11,Hombre,Casada
4.0,12,22,3,Hombre,Casada
3.3,12,21,9,Mujer,Casada
5.05,12,19,0,Mujer,Casada
3.58,12,13,0,Hombre,Soltera
5.0,14,15,5,Hombre,Casada
4.57,14,3,0,Hombre,Casada
12.5,18,6,2,Hombre,Soltera
3.45,12,6,5,Mujer,Casada
4.63,12,16,1,Mujer,Soltera
10.0,12,31,2,Hombre,Casada
2.92,11,1,0,Mujer,Soltera
4.51,12,5,2,Hombre,Soltera
6.5,17,3,0,Hombre,Casada
7.5,16,11,0,Hombre,Casada
3.54,13,6,7,Mujer,Casada
4.2,13,11,3,Mujer,Casada
3.51,12,7,2,Mujer,Casada
4.5,14,5,0,Hombre,Casada
3.35,14,5,4,Mujer,Casada
2.91,11,2,2,Hombre,Soltera
5.25,10,44,7,Hombre,Casada
4.05,8,44,25,Hombre,Casada
3.75,14,13,0,Mujer,Casada
3.4,12,26,15,Mujer,Casada
3.0,10,2,1,Mujer,Soltera
6.29,17,10,3,Hombre,Casada
2.54,9,2,0,Mujer,Soltera
4.5,12,35,0,Mujer,Casada
3.13,12,6,5,Mujer,Casada
6.36,14,8,1,Hombre,Casada
4.68,16,1,0,Hombre,Soltera
6.8,12,14,10,Hombre,Casada
8.53,10,14,6,Hombre,Casada
4.17,0,22,10,Mujer,Soltera
3.75,14,8,4,Mujer,Casada
11.1,15,1,4,Mujer,Soltera
3.26,16,15,5,Mujer,Casada
9.13,12,14,12,Hombre,Casada
4.5,11,37,10,Hombre,Casada
3.0,11,1,1,Mujer,Soltera
8.75,12,4,4,Hombre,Casada
4.14,13,29,0,Mujer,Casada
2.87,12,45,8,Mujer,Casada
3.35,13,22,0,Mujer,Soltera
6.08,16,42,10,Hombre,Soltera
3.0,15,9,0,Hombre,Soltera
4.2,16,8,0,Mujer,Casada
5.6,15,31,15,Mujer,Soltera
10.0,12,24,24,Hombre,Casada
12.5,18,16,5,Hombre,Casada
3.76,6,6,0,Hombre,Soltera
3.1,6,14,0,Mujer,Soltera
4.29,12,47,25,Mujer,Casada
10.92,12,34,5,Hombre,Casada
7.5,16,6,2,Mujer,Casada
4.05,9,7,4,Mujer,Casada
4.65,12,27,2,Hombre,Casada
5.0,11,24,5,Hombre,Casada
2.9,10,18,0,Mujer,Casada
8.0,12,12,3,Mujer,Soltera
8.43,8,27,3,Hombre,Casada
2.92,9,49,0,Mujer,Soltera
6.25,17,4,0,Mujer,Soltera
6.25,16,24,2,Mujer,Casada
5.11,11,3,0,Hombre,Soltera
4.0,10,2,0,Mujer,Soltera
4.44,8,29,11,Hombre,Casada
6.88,13,34,21,Hombre,Casada
5.43,14,10,3,Hombre,Casada
3.0,13,5,0,Mujer,Soltera
2.9,11,2,0,Mujer,Soltera
6.25,7,39,21,Hombre,Casada
4.34,16,5,2,Mujer,Soltera
3.25,12,14,2,Mujer,Casada
7.26,13,8,2,Hombre,Soltera
6.35,14,10,1,Mujer,Casada
5.63,16,2,2,Hombre,Casada
8.75,14,9,3,Hombre,Casada
3.2,11,1,0,Hombre,Soltera
3.0,8,45,1,Mujer,Casada
3.0,14,33,3,Mujer,Casada
12.5,17,21,18,Hombre,Casada
2.88,10,2,0,Mujer,Soltera
3.35,12,9,1,Hombre,Casada
6.5,12,33,2,Hombre,Casada
10.38,18,16,2,Hombre,Casada
4.5,14,10,0,Hombre,Casada
10.0,18,9,8,Hombre,Soltera
3.81,12,8,1,Mujer,Casada
8.8,16,9,1,Hombre,Casada
9.42,14,23,0,Mujer,Casada
6.33,12,23,8,Hombre,Casada
4.0,9,22,18,Hombre,Soltera
2.9,12,37,0,Mujer,Casada
20.0,12,22,4,Hombre,Casada
11.25,17,28,25,Hombre,Casada
3.5,12,14,0,Mujer,Soltera
6.0,15,19,4,Mujer,Casada
14.38,17,10,9,Hombre,Casada
6.36,16,25,0,Hombre,Casada
3.55,12,21,0,Mujer,Casada
3.0,15,32,0,Hombre,Casada
4.5,16,21,10,Hombre,Casada
6.63,12,36,0,Mujer,Soltera
9.3,15,2,2,Hombre,Casada
3.0,12,11,0,Mujer,Casada
3.25,12,40,2,Mujer,Soltera
1.5,12,11,1,Mujer,Casada
5.9,12,9,7,Mujer,Casada
8.0,16,23,4,Hombre,Soltera
2.9,11,1,0,Mujer,Soltera
3.29,14,30,13,Hombre,Soltera
6.5,14,41,33,Hombre,Casada
4.0,13,6,0,Mujer,Soltera
6.0,14,11,0,Hombre,Casada
4.08,12,43,17,Mujer,Casada
3.75,12,39,2,Mujer,Casada
3.05,8,50,24,Mujer,Soltera
3.5,12,26,20,Mujer,Casada
2.92,3,51,30,Hombre,Soltera
4.5,11,3,9,Hombre,Soltera
3.35,15,3,1,Mujer,Casada
5.95,11,15,9,Hombre,Casada
8.0,12,17,6,Hombre,Casada
3.0,4,36,0,Hombre,Casada
5.0,9,31,9,Hombre,Casada
5.5,12,9,4,Hombre,Casada
2.65,12,42,10,Mujer,Casada
3.0,11,3,0,Mujer,Soltera
4.5,12,37,14,Mujer,Casada
17.5,16,23,22,Hombre,Casada
8.18,13,21,5,Hombre,Soltera
9.09,15,11,12,Hombre,Casada
11.82,16,35,13,Hombre,Casada
3.25,12,42,0,Mujer,Casada
4.5,12,3,0,Hombre,Soltera
4.5,12,13,0,Hombre,Casada
3.71,9,14,7,Hombre,Casada
6.5,10,14,11,Hombre,Casada
2.9,12,39,1,Mujer,Casada
5.6,11,11,8,Hombre,Casada
2.23,8,28,3,Hombre,Casada
5.0,6,18,0,Mujer,Casada
8.33,16,6,2,Hombre,Casada
2.9,12,26,1,Mujer,Soltera
6.25,12,21,6,Hombre,Casada
4.55,16,34,2,Hombre,Casada
3.28,12,17,2,Mujer,Soltera
2.3,10,2,0,Mujer,Soltera
3.3,13,5,0,Mujer,Soltera
3.15,13,1,0,Mujer,Soltera
12.5,14,40,30,Hombre,Casada
5.15,16,39,21,Mujer,Soltera
3.13,10,1,1,Hombre,Soltera
7.25,12,14,5,Hombre,Casada
2.9,12,2,2,Mujer,Soltera
1.75,11,2,1,Hombre,Soltera
2.89,0,42,0,Mujer,Casada
2.9,5,34,0,Mujer,Casada
17.71,16,10,3,Hombre,Casada
6.25,16,4,3,Hombre,Casada
2.6,9,4,0,Hombre,Soltera
6.63,15,21,3,Mujer,Casada
3.5,12,31,3,Mujer,Soltera
6.5,12,20,14,Hombre,Casada
3.0,12,36,1,Mujer,Soltera
4.38,13,7,0,Hombre,Casada
10.0,12,15,0,Hombre,Soltera
4.95,7,25,17,Hombre,Casada
9.0,17,7,0,Mujer,Casada
1.43,12,17,0,Mujer,Casada
3.08,12,3,1,Hombre,Soltera
9.33,14,12,11,Hombre,Casada
7.5,12,18,5,Hombre,Casada
4.75,13,47,1,Hombre,Casada
5.65,12,2,0,Hombre,Soltera
15.0,16,14,2,Mujer,Casada
2.27,10,2,0,Mujer,Soltera
4.67,15,13,18,Hombre,Casada
11.56,16,5,1,Hombre,Casada
3.5,14,5,4,Mujer,Soltera
